00020	Paranavai, PR	2006	06	28	04	55	494	097	610
00020	Paranavai, PR	1989	08	02	20	34	248	014	352
00020	Paranavai, PR	1990	11	14	09	24	199	062	333
00020	Paranavai, PR	1990	01	08	00	55	228	001	017
00020	Paranavai, PR	2000	09	20	18	30	070	080	124
00020	Paranavai, PR	1997	06	06	08	55	174	016	646
00020	Paranavai, PR	2014	05	10	17	50	088	014	380
00020	Paranavai, PR	2007	10	19	07	05	013	035	266
00020	Paranavai, PR	2002	02	11	09	52	051	024	519
00020	Paranavai, PR	1992	10	20	09	45	217	046	005
00020	Paranavai, PR	2014	05	27	14	11	434	008	681
00020	Paranavai, PR	1988	01	01	23	29	099	067	245
00020	Paranavai, PR	1980	03	06	15	53	358	023	242
00020	Paranavai, PR	2000	04	07	06	43	264	096	497
00020	Paranavai, PR	2003	11	30	23	38	267	095	053
00020	Paranavai, PR	1995	03	10	22	14	251	040	696
00020	Paranavai, PR	1991	11	08	00	22	209	075	219
00020	Paranavai, PR	1996	10	28	00	36	221	004	589
00020	Paranavai, PR	1982	02	12	21	57	168	004	317
00020	Paranavai, PR	2016	09	24	10	31	093	039	387
00020	Paranavai, PR	1986	04	19	10	41	249	010	281
00020	Paranavai, PR	2016	03	10	19	21	084	070	351
00020	Paranavai, PR	2003	02	22	21	09	219	049	011
00020	Paranavai, PR	1999	10	15	16	50	160	043	498
00020	Paranavai, PR	2012	09	05	17	51	299	064	043
00020	Paranavai, PR	2007	01	11	10	19	184	065	151
00020	Paranavai, PR	2006	10	22	18	10	465	045	026
00020	Paranavai, PR	2011	11	21	05	27	235	009	153
00020	Paranavai, PR	1989	08	17	01	55	082	018	437
00020	Paranavai, PR	2007	02	29	00	18	388	060	053
00020	Paranavai, PR	1993	03	12	21	17	324	004	294
00020	Paranavai, PR	2009	08	29	09	49	387	065	603
00020	Paranavai, PR	1985	08	14	21	23	285	050	398
00020	Paranavai, PR	1992	12	03	21	16	271	042	186
00020	Paranavai, PR	2000	05	17	07	05	082	062	345
00020	Paranavai, PR	1987	11	06	08	59	133	076	030
00020	Paranavai, PR	1992	08	01	07	59	272	033	466
00020	Paranavai, PR	1983	12	29	19	22	226	004	102
00020	Paranavai, PR	2007	01	30	03	21	283	079	036
00020	Paranavai, PR	1991	08	13	14	33	383	091	567
00020	Paranavai, PR	2002	06	20	18	15	073	100	489
00020	Paranavai, PR	1984	10	12	00	39	189	045	197
00020	Paranavai, PR	1996	08	28	04	44	079	021	348
00020	Paranavai, PR	2001	02	29	13	11	463	099	182
00020	Paranavai, PR	2010	09	25	03	32	073	077	280
00020	Paranavai, PR	1985	08	27	00	33	187	076	639
00020	Paranavai, PR	1981	05	05	21	58	483	050	359
00020	Paranavai, PR	1995	10	25	23	26	057	020	293
00020	Paranavai, PR	1999	07	22	15	56	297	003	346
00020	Paranavai, PR	1992	06	01	13	46	068	089	686
00020	Paranavai, PR	1998	10	31	13	16	307	052	537
00020	Paranavai, PR	1996	07	05	03	13	241	051	009
00020	Paranavai, PR	2000	06	09	02	00	415	022	172
00020	Paranavai, PR	2001	07	14	17	08	043	084	334
00020	Paranavai, PR	2015	12	29	17	33	030	025	632
00020	Paranavai, PR	1985	08	11	09	21	331	083	429
00020	Paranavai, PR	2006	12	25	21	30	442	039	396
00020	Paranavai, PR	1992	02	20	15	44	005	071	356
00020	Paranavai, PR	2008	03	14	07	46	336	028	364
00020	Paranavai, PR	2009	03	04	22	58	035	059	152
00020	Paranavai, PR	1985	12	19	20	05	379	058	592
00020	Paranavai, PR	1995	01	17	17	02	303	098	553
00020	Paranavai, PR	2014	04	14	19	09	344	025	637
00020	Paranavai, PR	2002	06	26	14	23	462	069	290
00020	Paranavai, PR	2003	09	05	10	13	219	012	080
00020	Paranavai, PR	1988	03	09	04	17	152	018	468
00020	Paranavai, PR	2015	08	08	17	10	049	085	229
00020	Paranavai, PR	1982	07	30	09	00	323	054	177
00020	Paranavai, PR	1984	03	10	16	18	465	090	596
00020	Paranavai, PR	2012	12	15	19	48	088	050	586
00020	Paranavai, PR	1995	11	15	09	13	451	040	169
00020	Paranavai, PR	2003	01	15	00	01	250	034	051
00020	Paranavai, PR	1987	05	12	00	41	036	001	360
00020	Paranavai, PR	2008	04	26	11	58	273	082	129
00020	Paranavai, PR	1984	08	25	21	51	132	098	680
00020	Paranavai, PR	2003	12	27	10	18	062	004	056
00020	Paranavai, PR	1979	03	29	17	26	428	055	529
00020	Paranavai, PR	2006	02	06	14	27	441	100	400
00020	Paranavai, PR	1984	12	27	14	56	409	033	485
00020	Paranavai, PR	1979	05	06	18	59	436	000	197
00020	Paranavai, PR	1992	10	03	18	57	236	090	611
00020	Paranavai, PR	2008	08	01	16	35	024	063	500
00020	Paranavai, PR	1979	07	12	08	29	278	077	347
00020	Paranavai, PR	2010	11	10	17	18	031	081	604
00020	Paranavai, PR	2004	11	26	01	19	398	005	236
00020	Paranavai, PR	1999	03	04	09	18	169	044	005
00020	Paranavai, PR	2016	10	07	12	56	145	043	570
00020	Paranavai, PR	2011	12	21	06	20	465	027	615
00020	Paranavai, PR	2004	09	26	05	59	204	036	349
00020	Paranavai, PR	2016	11	17	19	16	274	047	352
00020	Paranavai, PR	2004	08	04	09	04	315	043	644
00020	Paranavai, PR	2006	03	02	20	36	106	088	407
00020	Paranavai, PR	2002	10	21	10	05	188	060	118
00020	Paranavai, PR	2010	02	07	15	53	296	050	554
00020	Paranavai, PR	1993	09	08	00	06	288	094	191
00020	Paranavai, PR	2010	10	15	15	31	296	003	061
00020	Paranavai, PR	1992	04	07	21	44	365	004	284
00020	Paranavai, PR	1985	04	14	21	57	399	057	441
00020	Paranavai, PR	1982	01	29	22	23	152	097	102
00020	Paranavai, PR	2013	02	28	22	23	104	055	334
00020	Paranavai, PR	1990	01	25	07	14	455	020	010
00020	Paranavai, PR	2002	06	26	22	14	142	021	024
00020	Paranavai, PR	2004	10	06	12	43	238	004	269
00020	Paranavai, PR	2015	08	25	08	01	239	091	434
00020	Paranavai, PR	1989	09	27	00	11	251	079	601
00020	Paranavai, PR	1987	03	12	07	00	238	076	567
00020	Paranavai, PR	2002	03	20	13	50	272	029	431
00020	Paranavai, PR	1986	11	11	19	03	006	070	405
00020	Paranavai, PR	1999	10	29	01	33	205	086	126
00020	Paranavai, PR	1996	08	01	20	29	065	065	386
00020	Paranavai, PR	2000	03	25	12	25	397	064	304
00020	Paranavai, PR	2010	07	17	10	40	317	077	426
00020	Paranavai, PR	1990	09	31	04	09	439	050	465
00020	Paranavai, PR	1979	08	17	19	25	288	078	482
00020	Paranavai, PR	2003	12	11	06	39	140	057	029
00020	Paranavai, PR	2006	04	02	18	35	041	069	051
00020	Paranavai, PR	1996	09	03	17	11	421	016	000
00020	Paranavai, PR	2003	05	05	05	00	110	071	611
00020	Paranavai, PR	1990	01	07	05	51	364	057	182
00020	Paranavai, PR	2003	09	26	09	40	415	085	095
00020	Paranavai, PR	2011	11	03	10	37	283	039	224
00020	Paranavai, PR	2002	06	16	01	28	344	060	023
00020	Paranavai, PR	1997	09	04	03	33	302	067	012
00020	Paranavai, PR	1996	12	24	16	38	071	040	407
00020	Paranavai, PR	1992	06	08	18	07	446	024	443
00020	Paranavai, PR	1987	05	27	07	31	039	091	287
